Epoch   0 [constrained] | Target: 0.00 | Ethical cost: 97.0471 | H: 1.089
Epoch   1 [constrained] | Target: 0.00 | Ethical cost: 102.5194 | H: 1.087
Epoch   2 [constrained] | Target: 0.70 | Ethical cost: 37.3104 | H: 1.081
Epoch   3 [constrained] | Target: 0.00 | Ethical cost: 145.0368 | H: 1.092
Epoch   4 [constrained] | Target: 0.20 | Ethical cost: 109.7606 | H: 1.090
Epoch   5 [constrained] | Target: 0.60 | Ethical cost: 74.9676 | H: 1.087
Epoch   6 [constrained] | Target: 0.10 | Ethical cost: 136.2964 | H: 1.083
Epoch   7 [constrained] | Target: 0.10 | Ethical cost: 131.3126 | H: 1.081
Epoch   8 [constrained] | Target: 0.40 | Ethical cost: 129.3579 | H: 1.069
Epoch   9 [constrained] | Target: 0.10 | Ethical cost: 134.2544 | H: 1.083
Epoch  10 [constrained] | Target: 0.00 | Ethical cost: 132.5613 | H: 1.091
Epoch  11 [constrained] | Target: 0.10 | Ethical cost: 132.4211 | H: 1.093
Epoch  12 [constrained] | Target: 0.40 | Ethical cost: 117.3698 | H: 1.078
Epoch  13 [constrained] | Target: 0.10 | Ethical cost: 138.2049 | H: 1.090
Epoch  14 [constrained] | Target: 0.00 | Ethical cost: 137.9301 | H: 1.094
Epoch  15 [constrained] | Target: 0.00 | Ethical cost: 148.7081 | H: 1.092
Epoch  16 [constrained] | Target: 0.10 | Ethical cost: 142.8046 | H: 1.093
Epoch  17 [constrained] | Target: 0.00 | Ethical cost: 131.9660 | H: 1.095
Epoch  18 [constrained] | Target: 0.10 | Ethical cost: 117.4550 | H: 1.098
Epoch  19 [constrained] | Target: 0.00 | Ethical cost: 130.7014 | H: 1.096
Epoch  20 [constrained] | Target: 1.00 | Ethical cost: 24.5039 | H: 1.097
Epoch  21 [constrained] | Target: 0.00 | Ethical cost: 145.1155 | H: 1.092
Epoch  22 [constrained] | Target: 0.00 | Ethical cost: 138.1323 | H: 1.088
Epoch  23 [constrained] | Target: 0.90 | Ethical cost: 103.2847 | H: 1.082
Epoch  24 [constrained] | Target: 0.10 | Ethical cost: 111.0985 | H: 1.095
