Epoch   0 [constrained] | Target: 0.70 | Ethical cost: 103.5408 | H: 1.082
Epoch   1 [constrained] | Target: 0.20 | Ethical cost: 133.6201 | H: 1.076
Epoch   2 [constrained] | Target: 0.10 | Ethical cost: 164.8041 | H: 1.075
Epoch   3 [constrained] | Target: 0.00 | Ethical cost: 183.5828 | H: 1.079
Epoch   4 [constrained] | Target: 0.10 | Ethical cost: 178.0005 | H: 1.072
Epoch   5 [constrained] | Target: 0.20 | Ethical cost: 149.1558 | H: 1.081
Epoch   6 [constrained] | Target: 0.00 | Ethical cost: 181.1588 | H: 1.077
Epoch   7 [constrained] | Target: 0.20 | Ethical cost: 149.7522 | H: 1.083
Epoch   8 [constrained] | Target: 0.30 | Ethical cost: 138.0770 | H: 1.082
Epoch   9 [constrained] | Target: 0.00 | Ethical cost: 185.8406 | H: 1.077
Epoch  10 [constrained] | Target: 0.30 | Ethical cost: 175.1100 | H: 1.064
Epoch  11 [constrained] | Target: 0.50 | Ethical cost: 118.7611 | H: 1.077
Epoch  12 [constrained] | Target: 0.30 | Ethical cost: 138.1314 | H: 1.087
Epoch  13 [constrained] | Target: 0.70 | Ethical cost: 90.8344 | H: 1.098
Epoch  14 [constrained] | Target: 0.10 | Ethical cost: 129.4258 | H: 1.094
Epoch  15 [constrained] | Target: 0.40 | Ethical cost: 92.9852 | H: 1.086
Epoch  16 [constrained] | Target: 0.50 | Ethical cost: 75.4528 | H: 1.096
Epoch  17 [constrained] | Target: 0.30 | Ethical cost: 92.8240 | H: 1.098
Epoch  18 [constrained] | Target: 0.10 | Ethical cost: 117.1798 | H: 1.089
Epoch  19 [constrained] | Target: 0.10 | Ethical cost: 107.6677 | H: 1.096
Epoch  20 [constrained] | Target: 0.00 | Ethical cost: 124.5343 | H: 1.096
Epoch  21 [constrained] | Target: 0.00 | Ethical cost: 98.9641 | H: 1.091
Epoch  22 [constrained] | Target: 0.50 | Ethical cost: 81.9583 | H: 1.087
Epoch  23 [constrained] | Target: 0.20 | Ethical cost: 77.9161 | H: 1.087
Epoch  24 [constrained] | Target: 0.10 | Ethical cost: 92.3768 | H: 1.084
Epoch  25 [constrained] | Target: 0.10 | Ethical cost: 81.8417 | H: 1.074
Epoch  26 [constrained] | Target: 0.30 | Ethical cost: 61.2587 | H: 1.061
Epoch  27 [constrained] | Target: 0.20 | Ethical cost: 73.7467 | H: 1.079
Epoch  28 [constrained] | Target: 1.00 | Ethical cost: 2.5330 | H: 1.025
