Epoch   0 [constrained] | Target: 0.00 | Ethical cost: 79.8330 | H: 1.078
Epoch   1 [constrained] | Target: 0.60 | Ethical cost: 44.7937 | H: 1.091
Epoch   2 [constrained] | Target: 0.10 | Ethical cost: 100.0930 | H: 1.097
Epoch   3 [constrained] | Target: 0.00 | Ethical cost: 108.9847 | H: 1.097
Epoch   4 [constrained] | Target: 0.00 | Ethical cost: 110.2553 | H: 1.098
Epoch   5 [constrained] | Target: 0.00 | Ethical cost: 133.3468 | H: 1.094
Epoch   6 [constrained] | Target: 0.10 | Ethical cost: 119.7954 | H: 1.096
Epoch   7 [constrained] | Target: 0.40 | Ethical cost: 79.1787 | H: 1.095
Epoch   8 [constrained] | Target: 0.50 | Ethical cost: 95.0568 | H: 1.090
Epoch   9 [constrained] | Target: 0.20 | Ethical cost: 105.0583 | H: 1.095
Epoch  10 [constrained] | Target: 0.20 | Ethical cost: 116.9082 | H: 1.090
Epoch  11 [constrained] | Target: 0.20 | Ethical cost: 116.3492 | H: 1.091
Epoch  12 [constrained] | Target: 0.10 | Ethical cost: 108.3590 | H: 1.094
Epoch  13 [constrained] | Target: 0.20 | Ethical cost: 109.1080 | H: 1.098
Epoch  14 [constrained] | Target: 0.20 | Ethical cost: 97.8056 | H: 1.096
Epoch  15 [constrained] | Target: 0.00 | Ethical cost: 117.9093 | H: 1.095
Epoch  16 [constrained] | Target: 0.20 | Ethical cost: 118.0865 | H: 1.097
Epoch  17 [constrained] | Target: 0.30 | Ethical cost: 107.3009 | H: 1.097
Epoch  18 [constrained] | Target: 0.00 | Ethical cost: 132.7735 | H: 1.094
Epoch  19 [constrained] | Target: 0.80 | Ethical cost: 27.3830 | H: 1.098
Epoch  20 [constrained] | Target: 0.00 | Ethical cost: 127.0926 | H: 1.096
Epoch  21 [constrained] | Target: 0.10 | Ethical cost: 135.2517 | H: 1.090
Epoch  22 [constrained] | Target: 0.10 | Ethical cost: 116.7199 | H: 1.090
Epoch  23 [constrained] | Target: 0.20 | Ethical cost: 125.7807 | H: 1.091
Epoch  24 [constrained] | Target: 0.30 | Ethical cost: 114.9438 | H: 1.096
Epoch  25 [constrained] | Target: 0.00 | Ethical cost: 143.5851 | H: 1.084
Epoch  26 [constrained] | Target: 0.30 | Ethical cost: 94.9299 | H: 1.091
Epoch  27 [constrained] | Target: 0.10 | Ethical cost: 105.0503 | H: 1.088
Epoch  28 [constrained] | Target: 0.10 | Ethical cost: 101.1988 | H: 1.081
Epoch  29 [constrained] | Target: 0.10 | Ethical cost: 89.0439 | H: 1.086
Epoch  30 [constrained] | Target: 0.90 | Ethical cost: 34.0357 | H: 1.081
Epoch  31 [constrained] | Target: 0.50 | Ethical cost: 61.7954 | H: 1.088
Epoch  32 [constrained] | Target: 0.40 | Ethical cost: 78.1218 | H: 1.081
Epoch  33 [constrained] | Target: 0.70 | Ethical cost: 38.8249 | H: 1.082
Epoch  34 [constrained] | Target: 0.60 | Ethical cost: 49.0410 | H: 1.055
Epoch  35 [constrained] | Target: 0.70 | Ethical cost: 44.2460 | H: 1.073
Epoch  36 [constrained] | Target: 0.10 | Ethical cost: 77.5885 | H: 1.061
Epoch  37 [constrained] | Target: 0.70 | Ethical cost: 52.7745 | H: 1.052
Epoch  38 [constrained] | Target: 0.10 | Ethical cost: 63.8801 | H: 1.042
Epoch  39 [constrained] | Target: 0.40 | Ethical cost: 60.3213 | H: 1.044
Epoch  40 [constrained] | Target: 0.40 | Ethical cost: 70.1516 | H: 1.063
Epoch  41 [constrained] | Target: 0.00 | Ethical cost: 63.5922 | H: 1.045
Epoch  42 [constrained] | Target: 0.10 | Ethical cost: 67.2025 | H: 1.058
Epoch  43 [constrained] | Target: 0.60 | Ethical cost: 40.4525 | H: 1.047
Epoch  44 [constrained] | Target: 0.00 | Ethical cost: 65.7218 | H: 1.036
Epoch  45 [constrained] | Target: 0.50 | Ethical cost: 34.6163 | H: 1.024
Epoch  46 [constrained] | Target: 0.00 | Ethical cost: 63.9290 | H: 1.038
Epoch  47 [constrained] | Target: 0.40 | Ethical cost: 40.7468 | H: 1.020
Epoch  48 [constrained] | Target: 0.60 | Ethical cost: 33.6210 | H: 1.031
Epoch  49 [constrained] | Target: 0.50 | Ethical cost: 35.7571 | H: 1.015
Epoch  50 [constrained] | Target: 0.00 | Ethical cost: 45.1502 | H: 1.013
Epoch  51 [constrained] | Target: 0.10 | Ethical cost: 44.0770 | H: 1.008
Epoch  52 [constrained] | Target: 0.50 | Ethical cost: 25.8643 | H: 1.005
Epoch  53 [constrained] | Target: 0.00 | Ethical cost: 46.6483 | H: 1.016
Epoch  54 [constrained] | Target: 0.00 | Ethical cost: 39.8279 | H: 1.006
Epoch  55 [constrained] | Target: 0.10 | Ethical cost: 47.3050 | H: 0.997
Epoch  56 [constrained] | Target: 0.00 | Ethical cost: 46.6972 | H: 1.014
Epoch  57 [constrained] | Target: 0.00 | Ethical cost: 49.3463 | H: 1.016
Epoch  58 [constrained] | Target: 0.40 | Ethical cost: 34.1915 | H: 1.023
Epoch  59 [constrained] | Target: 0.00 | Ethical cost: 34.8994 | H: 0.975
Epoch  60 [constrained] | Target: 0.30 | Ethical cost: 35.5152 | H: 0.994
Epoch  61 [constrained] | Target: 0.00 | Ethical cost: 48.5672 | H: 1.001
Epoch  62 [constrained] | Target: 0.30 | Ethical cost: 37.6038 | H: 1.016
Epoch  63 [constrained] | Target: 0.00 | Ethical cost: 46.2245 | H: 1.006
Epoch  64 [constrained] | Target: 0.00 | Ethical cost: 53.8304 | H: 1.022
Epoch  65 [constrained] | Target: 0.20 | Ethical cost: 34.6575 | H: 0.996
