Epoch   0 [unconstrained] | Target: 0.30 | H: 1.098
Epoch   1 [unconstrained] | Target: 0.80 | H: 1.093
Epoch   2 [unconstrained] | Target: 0.40 | H: 1.096
Epoch   3 [unconstrained] | Target: 0.20 | H: 1.098
Epoch   4 [unconstrained] | Target: 0.60 | H: 1.096
Epoch   5 [unconstrained] | Target: 0.00 | H: 1.095
Epoch   6 [unconstrained] | Target: 0.10 | H: 1.092
Epoch   7 [unconstrained] | Target: 0.00 | H: 1.094
Epoch   8 [unconstrained] | Target: 0.10 | H: 1.091
Epoch   9 [unconstrained] | Target: 0.20 | H: 1.097
Epoch  10 [unconstrained] | Target: 0.20 | H: 1.085
Epoch  11 [unconstrained] | Target: 0.30 | H: 1.093
Epoch  12 [unconstrained] | Target: 0.00 | H: 1.088
Epoch  13 [unconstrained] | Target: 0.10 | H: 1.066
Epoch  14 [unconstrained] | Target: 0.00 | H: 1.065
Epoch  15 [unconstrained] | Target: 0.00 | H: 1.064
Epoch  16 [unconstrained] | Target: 0.30 | H: 1.081
Epoch  17 [unconstrained] | Target: 0.00 | H: 1.071
Epoch  18 [unconstrained] | Target: 0.00 | H: 1.046
Epoch  19 [unconstrained] | Target: 0.00 | H: 1.046
Epoch  20 [unconstrained] | Target: 0.20 | H: 1.059
Epoch  21 [unconstrained] | Target: 0.50 | H: 1.029
Epoch  22 [unconstrained] | Target: 1.00 | H: 1.001
Epoch  23 [unconstrained] | Target: 0.00 | H: 1.051
Epoch  24 [unconstrained] | Target: 0.00 | H: 1.024
Epoch  25 [unconstrained] | Target: 0.10 | H: 1.034
Epoch  26 [unconstrained] | Target: 0.10 | H: 1.005
Epoch  27 [unconstrained] | Target: 0.00 | H: 1.019
Epoch  28 [unconstrained] | Target: 0.80 | H: 0.986
Epoch  29 [unconstrained] | Target: 0.20 | H: 0.963
Epoch  30 [unconstrained] | Target: 0.60 | H: 0.976
Epoch  31 [unconstrained] | Target: 0.00 | H: 0.949
Epoch  32 [unconstrained] | Target: 0.50 | H: 0.939
Epoch  33 [unconstrained] | Target: 0.10 | H: 0.961
Epoch  34 [unconstrained] | Target: 0.50 | H: 0.953
Epoch  35 [unconstrained] | Target: 0.90 | H: 0.933
Epoch  36 [unconstrained] | Target: 0.50 | H: 0.970
Epoch  37 [unconstrained] | Target: 1.00 | H: 0.950
Epoch  38 [unconstrained] | Target: 0.50 | H: 0.957
Epoch  39 [unconstrained] | Target: 0.40 | H: 0.977
Epoch  40 [unconstrained] | Target: 0.10 | H: 0.958
Epoch  41 [unconstrained] | Target: 0.10 | H: 0.956
Epoch  42 [unconstrained] | Target: 0.00 | H: 0.949
Epoch  43 [unconstrained] | Target: 0.20 | H: 0.971
Epoch  44 [unconstrained] | Target: 0.00 | H: 0.990
Epoch  45 [unconstrained] | Target: 0.50 | H: 0.991
Epoch  46 [unconstrained] | Target: 0.50 | H: 0.971
Epoch  47 [unconstrained] | Target: 0.00 | H: 0.968
Epoch  48 [unconstrained] | Target: 0.50 | H: 0.976
Epoch  49 [unconstrained] | Target: 0.00 | H: 0.977
Epoch  50 [unconstrained] | Target: 0.20 | H: 0.922
Epoch  51 [unconstrained] | Target: 0.30 | H: 0.976
Epoch  52 [unconstrained] | Target: 0.80 | H: 0.984
Epoch  53 [unconstrained] | Target: 0.00 | H: 0.967
Epoch  54 [unconstrained] | Target: 0.10 | H: 0.964
Epoch  55 [unconstrained] | Target: 0.00 | H: 0.971
Epoch  56 [unconstrained] | Target: 0.00 | H: 0.952
Epoch  57 [unconstrained] | Target: 0.20 | H: 0.959
Epoch  58 [unconstrained] | Target: 0.40 | H: 0.975
Epoch  59 [unconstrained] | Target: 0.30 | H: 0.949
Epoch  60 [unconstrained] | Target: 0.00 | H: 0.904
Epoch  61 [unconstrained] | Target: 0.00 | H: 0.963
Epoch  62 [unconstrained] | Target: 0.00 | H: 0.946
Epoch  63 [unconstrained] | Target: 0.40 | H: 0.941
Epoch  64 [unconstrained] | Target: 0.00 | H: 0.901
Epoch  65 [unconstrained] | Target: 0.10 | H: 0.928
Epoch  66 [unconstrained] | Target: 0.10 | H: 0.913
Epoch  67 [unconstrained] | Target: 0.00 | H: 0.935
Epoch  68 [unconstrained] | Target: 0.10 | H: 0.893
Epoch  69 [unconstrained] | Target: 0.00 | H: 0.898
Epoch  70 [unconstrained] | Target: 0.00 | H: 0.935
Epoch  71 [unconstrained] | Target: 0.00 | H: 0.952
Epoch  72 [unconstrained] | Target: 0.00 | H: 0.905
Epoch  73 [unconstrained] | Target: 0.30 | H: 0.918
Epoch  74 [unconstrained] | Target: 0.10 | H: 0.917
Epoch  75 [unconstrained] | Target: 0.00 | H: 0.898
Epoch  76 [unconstrained] | Target: 0.00 | H: 0.865
Epoch  77 [unconstrained] | Target: 0.10 | H: 0.929
Epoch  78 [unconstrained] | Target: 1.00 | H: 0.943
Epoch  79 [unconstrained] | Target: 0.60 | H: 0.925
Epoch  80 [unconstrained] | Target: 0.00 | H: 0.904
Epoch  81 [unconstrained] | Target: 0.00 | H: 0.929
Epoch  82 [unconstrained] | Target: 0.20 | H: 0.930
Epoch  83 [unconstrained] | Target: 0.00 | H: 0.930
Epoch  84 [unconstrained] | Target: 0.00 | H: 0.921
Epoch  85 [unconstrained] | Target: 0.00 | H: 0.924
Epoch  86 [unconstrained] | Target: 0.40 | H: 0.954
Epoch  87 [unconstrained] | Target: 0.10 | H: 0.940
Epoch  88 [unconstrained] | Target: 0.00 | H: 0.939
Epoch  89 [unconstrained] | Target: 0.00 | H: 0.899
Epoch  90 [unconstrained] | Target: 0.00 | H: 0.946
Epoch  91 [unconstrained] | Target: 0.40 | H: 0.932
Epoch  92 [unconstrained] | Target: 0.10 | H: 0.950
Epoch  93 [unconstrained] | Target: 0.20 | H: 0.930
Epoch  94 [unconstrained] | Target: 0.20 | H: 0.970
Epoch  95 [unconstrained] | Target: 0.10 | H: 0.936
Epoch  96 [unconstrained] | Target: 0.00 | H: 0.931
Epoch  97 [unconstrained] | Target: 0.00 | H: 0.949
Epoch  98 [unconstrained] | Target: 0.50 | H: 0.937
Epoch  99 [unconstrained] | Target: 0.10 | H: 0.939
Epoch 100 [unconstrained] | Target: 0.20 | H: 0.941
Epoch 101 [unconstrained] | Target: 0.00 | H: 0.924
Epoch 102 [unconstrained] | Target: 0.70 | H: 0.941
Epoch 103 [unconstrained] | Target: 0.00 | H: 0.949
Epoch 104 [unconstrained] | Target: 0.00 | H: 0.923
Epoch 105 [unconstrained] | Target: 0.40 | H: 0.940
Epoch 106 [unconstrained] | Target: 0.00 | H: 0.909
Epoch 107 [unconstrained] | Target: 0.00 | H: 0.948
Epoch 108 [unconstrained] | Target: 0.20 | H: 0.931
Epoch 109 [unconstrained] | Target: 0.00 | H: 0.920
Epoch 110 [unconstrained] | Target: 0.10 | H: 0.940
Epoch 111 [unconstrained] | Target: 0.20 | H: 0.940
Epoch 112 [unconstrained] | Target: 0.00 | H: 0.951
Epoch 113 [unconstrained] | Target: 0.00 | H: 0.941
Epoch 114 [unconstrained] | Target: 0.10 | H: 0.915
Epoch 115 [unconstrained] | Target: 0.20 | H: 0.935
Epoch 116 [unconstrained] | Target: 0.30 | H: 0.925
Epoch 117 [unconstrained] | Target: 0.10 | H: 0.950
Epoch 118 [unconstrained] | Target: 0.00 | H: 0.931
Epoch 119 [unconstrained] | Target: 0.00 | H: 0.956
Epoch 120 [unconstrained] | Target: 0.00 | H: 0.950
Epoch 121 [unconstrained] | Target: 1.00 | H: 0.959
Epoch 122 [unconstrained] | Target: 0.00 | H: 0.934
Epoch 123 [unconstrained] | Target: 0.00 | H: 0.923
Epoch 124 [unconstrained] | Target: 0.00 | H: 0.945
Epoch 125 [unconstrained] | Target: 0.00 | H: 0.932
Epoch 126 [unconstrained] | Target: 0.90 | H: 0.919
Epoch 127 [unconstrained] | Target: 0.60 | H: 0.932
Epoch 128 [unconstrained] | Target: 0.00 | H: 0.946
Epoch 129 [unconstrained] | Target: 0.10 | H: 0.930
Epoch 130 [unconstrained] | Target: 0.40 | H: 0.922
Epoch 131 [unconstrained] | Target: 0.70 | H: 0.937
Epoch 132 [unconstrained] | Target: 0.00 | H: 0.948
Epoch 133 [unconstrained] | Target: 0.80 | H: 0.927
Epoch 134 [unconstrained] | Target: 0.00 | H: 0.933
Epoch 135 [unconstrained] | Target: 0.40 | H: 0.943
Epoch 136 [unconstrained] | Target: 0.30 | H: 0.925
Epoch 137 [unconstrained] | Target: 0.60 | H: 0.930
Epoch 138 [unconstrained] | Target: 0.60 | H: 0.930
Epoch 139 [unconstrained] | Target: 0.10 | H: 0.934
Epoch 140 [unconstrained] | Target: 0.10 | H: 0.955
Epoch 141 [unconstrained] | Target: 0.50 | H: 0.945
Epoch 142 [unconstrained] | Target: 0.00 | H: 0.954
Epoch 143 [unconstrained] | Target: 0.00 | H: 0.941
Epoch 144 [unconstrained] | Target: 0.30 | H: 0.943
Epoch 145 [unconstrained] | Target: 0.10 | H: 0.924
Epoch 146 [unconstrained] | Target: 0.40 | H: 0.949
Epoch 147 [unconstrained] | Target: 0.60 | H: 0.965
Epoch 148 [unconstrained] | Target: 0.00 | H: 0.956
Epoch 149 [unconstrained] | Target: 0.00 | H: 0.949
Epoch 150 [unconstrained] | Target: 0.10 | H: 0.959
Epoch 151 [unconstrained] | Target: 0.20 | H: 0.978
Epoch 152 [unconstrained] | Target: 0.20 | H: 0.959
Epoch 153 [unconstrained] | Target: 0.10 | H: 0.958
Epoch 154 [unconstrained] | Target: 0.00 | H: 0.971
Epoch 155 [unconstrained] | Target: 0.00 | H: 0.966
Epoch 156 [unconstrained] | Target: 0.00 | H: 0.988
Epoch 157 [unconstrained] | Target: 0.00 | H: 0.971
Epoch 158 [unconstrained] | Target: 0.70 | H: 0.986
Epoch 159 [unconstrained] | Target: 0.60 | H: 0.971
Epoch 160 [unconstrained] | Target: 0.20 | H: 0.971
Epoch 161 [unconstrained] | Target: 0.20 | H: 0.962
Epoch 162 [unconstrained] | Target: 0.00 | H: 0.972
Epoch 163 [unconstrained] | Target: 0.00 | H: 0.975
Epoch 164 [unconstrained] | Target: 0.30 | H: 0.962
Epoch 165 [unconstrained] | Target: 0.20 | H: 0.971
Epoch 166 [unconstrained] | Target: 0.20 | H: 0.986
Epoch 167 [unconstrained] | Target: 0.10 | H: 0.988
Epoch 168 [unconstrained] | Target: 0.00 | H: 0.978
Epoch 169 [unconstrained] | Target: 0.00 | H: 0.980
Epoch 170 [unconstrained] | Target: 0.10 | H: 0.950
Epoch 171 [unconstrained] | Target: 0.10 | H: 0.988
Epoch 172 [unconstrained] | Target: 0.00 | H: 0.993
Epoch 173 [unconstrained] | Target: 0.10 | H: 1.004
Epoch 174 [unconstrained] | Target: 0.00 | H: 0.986
Epoch 175 [unconstrained] | Target: 0.00 | H: 0.981
Epoch 176 [unconstrained] | Target: 0.90 | H: 1.024
Epoch 177 [unconstrained] | Target: 0.00 | H: 0.996
Epoch 178 [unconstrained] | Target: 0.10 | H: 1.003
Epoch 179 [unconstrained] | Target: 0.00 | H: 1.031
Epoch 180 [unconstrained] | Target: 0.20 | H: 1.018
Epoch 181 [unconstrained] | Target: 0.00 | H: 1.003
Epoch 182 [unconstrained] | Target: 0.10 | H: 1.029
Epoch 183 [unconstrained] | Target: 0.00 | H: 1.026
Epoch 184 [unconstrained] | Target: 0.00 | H: 1.018
Epoch 185 [unconstrained] | Target: 0.30 | H: 1.025
Epoch 186 [unconstrained] | Target: 0.00 | H: 1.016
Epoch 187 [unconstrained] | Target: 0.30 | H: 1.021
Epoch 188 [unconstrained] | Target: 0.00 | H: 1.017
Epoch 189 [unconstrained] | Target: 0.20 | H: 1.024
Epoch 190 [unconstrained] | Target: 0.40 | H: 1.009
Epoch 191 [unconstrained] | Target: 0.00 | H: 1.019
Epoch 192 [unconstrained] | Target: 0.00 | H: 1.010
