Epoch 103 [unconstrained] | Target: 0.00 | H: 0.819
Epoch 104 [unconstrained] | Target: 0.10 | H: 0.832
Epoch 105 [unconstrained] | Target: 0.10 | H: 0.816
Epoch 106 [unconstrained] | Target: 0.00 | H: 0.823
Epoch 107 [unconstrained] | Target: 0.00 | H: 0.824
Epoch 108 [unconstrained] | Target: 0.30 | H: 0.801
Epoch 109 [unconstrained] | Target: 0.00 | H: 0.804
Epoch 110 [unconstrained] | Target: 0.30 | H: 0.799
Epoch 111 [unconstrained] | Target: 0.10 | H: 0.832
Epoch 112 [unconstrained] | Target: 0.00 | H: 0.787
Epoch 113 [unconstrained] | Target: 0.20 | H: 0.801
Epoch 114 [unconstrained] | Target: 0.20 | H: 0.773
Epoch 115 [unconstrained] | Target: 0.00 | H: 0.798
Epoch 116 [unconstrained] | Target: 0.20 | H: 0.773
Epoch 117 [unconstrained] | Target: 0.00 | H: 0.807
Epoch 118 [unconstrained] | Target: 0.30 | H: 0.790
Epoch 119 [unconstrained] | Target: 0.30 | H: 0.780
Epoch 120 [unconstrained] | Target: 0.30 | H: 0.779
Epoch 121 [unconstrained] | Target: 1.00 | H: 0.788
Epoch 122 [unconstrained] | Target: 0.70 | H: 0.772
Epoch 123 [unconstrained] | Target: 0.60 | H: 0.810
Epoch 124 [unconstrained] | Target: 0.40 | H: 0.840
Epoch 125 [unconstrained] | Target: 0.00 | H: 0.802
Epoch 126 [unconstrained] | Target: 0.00 | H: 0.824
Epoch 127 [unconstrained] | Target: 0.60 | H: 0.846
Epoch 128 [unconstrained] | Target: 0.30 | H: 0.826
Epoch 129 [unconstrained] | Target: 0.50 | H: 0.882
Epoch 130 [unconstrained] | Target: 0.10 | H: 0.807
Epoch 131 [unconstrained] | Target: 0.60 | H: 0.890
Epoch 132 [unconstrained] | Target: 0.10 | H: 0.910
Epoch 133 [unconstrained] | Target: 0.40 | H: 0.933
Epoch 134 [unconstrained] | Target: 0.60 | H: 0.904
Epoch 135 [unconstrained] | Target: 0.20 | H: 0.960
Epoch 136 [unconstrained] | Target: 0.30 | H: 0.949
Epoch 137 [unconstrained] | Target: 0.00 | H: 0.959
Epoch 138 [unconstrained] | Target: 0.40 | H: 0.998
Epoch 139 [unconstrained] | Target: 0.90 | H: 0.941
Epoch 140 [unconstrained] | Target: 0.10 | H: 0.988
Epoch 141 [unconstrained] | Target: 0.20 | H: 0.981
Epoch 142 [unconstrained] | Target: 0.00 | H: 0.977
Epoch 143 [unconstrained] | Target: 0.20 | H: 0.978
Epoch 144 [unconstrained] | Target: 0.10 | H: 0.962
Epoch 145 [unconstrained] | Target: 0.20 | H: 0.949
Epoch 146 [unconstrained] | Target: 0.10 | H: 0.999
Epoch 147 [unconstrained] | Target: 0.00 | H: 0.985
Epoch 148 [unconstrained] | Target: 0.00 | H: 0.959
Epoch 149 [unconstrained] | Target: 0.00 | H: 0.980
Epoch 150 [unconstrained] | Target: 0.00 | H: 0.999
Epoch 151 [unconstrained] | Target: 0.00 | H: 1.017
Epoch 152 [unconstrained] | Target: 0.00 | H: 0.991
Epoch 153 [unconstrained] | Target: 0.00 | H: 0.989
Epoch 154 [unconstrained] | Target: 0.00 | H: 1.006
Epoch 155 [unconstrained] | Target: 0.60 | H: 1.030
Epoch 156 [unconstrained] | Target: 0.70 | H: 1.017
Epoch 157 [unconstrained] | Target: 0.00 | H: 1.029
Epoch 158 [unconstrained] | Target: 0.30 | H: 1.017
Epoch 159 [unconstrained] | Target: 0.00 | H: 1.005
Epoch 160 [unconstrained] | Target: 0.10 | H: 1.004
Epoch 161 [unconstrained] | Target: 0.20 | H: 1.037
Epoch 162 [unconstrained] | Target: 0.50 | H: 1.001
Epoch 163 [unconstrained] | Target: 0.30 | H: 1.027
Epoch 164 [unconstrained] | Target: 0.10 | H: 1.017
Epoch 165 [unconstrained] | Target: 0.10 | H: 1.021
Epoch 166 [unconstrained] | Target: 0.30 | H: 1.040
Epoch 167 [unconstrained] | Target: 0.00 | H: 1.043
Epoch 168 [unconstrained] | Target: 0.10 | H: 1.058
Epoch 169 [unconstrained] | Target: 0.00 | H: 1.044
Epoch 170 [unconstrained] | Target: 0.00 | H: 1.058
Epoch 171 [unconstrained] | Target: 0.30 | H: 1.061
Epoch 172 [unconstrained] | Target: 0.40 | H: 1.072
Epoch 173 [unconstrained] | Target: 0.70 | H: 1.065
Epoch 174 [unconstrained] | Target: 0.20 | H: 1.073
Epoch 175 [unconstrained] | Target: 0.00 | H: 1.068
Epoch 176 [unconstrained] | Target: 0.90 | H: 1.071
Epoch 177 [unconstrained] | Target: 0.10 | H: 1.061
Epoch 178 [unconstrained] | Target: 0.20 | H: 1.078
Epoch 179 [unconstrained] | Target: 0.20 | H: 1.074
Epoch 180 [unconstrained] | Target: 0.10 | H: 1.073
Epoch 181 [unconstrained] | Target: 0.30 | H: 1.085
Epoch 182 [unconstrained] | Target: 0.10 | H: 1.066
Epoch 183 [unconstrained] | Target: 0.20 | H: 1.071
Epoch 184 [unconstrained] | Target: 0.30 | H: 1.077
Epoch 185 [unconstrained] | Target: 0.00 | H: 1.084
Epoch 186 [unconstrained] | Target: 0.10 | H: 1.068
Epoch 187 [unconstrained] | Target: 0.40 | H: 1.077
Epoch 188 [unconstrained] | Target: 0.00 | H: 1.076
Epoch 189 [unconstrained] | Target: 0.00 | H: 1.080
Epoch 190 [unconstrained] | Target: 0.00 | H: 1.076
Epoch 191 [unconstrained] | Target: 0.40 | H: 1.076
Epoch 192 [unconstrained] | Target: 0.10 | H: 1.080
Epoch 193 [unconstrained] | Target: 0.10 | H: 1.072
Epoch 194 [unconstrained] | Target: 0.00 | H: 1.074
Epoch 195 [unconstrained] | Target: 0.00 | H: 1.077
Epoch 196 [unconstrained] | Target: 0.20 | H: 1.063
Epoch 197 [unconstrained] | Target: 0.20 | H: 1.075
Epoch 198 [unconstrained] | Target: 1.00 | H: 1.059
Epoch 199 [unconstrained] | Target: 0.20 | H: 1.062
Epoch 200 [unconstrained] | Target: 0.00 | H: 1.075
Epoch 201 [unconstrained] | Target: 0.20 | H: 1.067
Epoch 202 [unconstrained] | Target: 0.10 | H: 1.059
Epoch 203 [unconstrained] | Target: 0.70 | H: 1.066
Epoch 204 [unconstrained] | Target: 0.00 | H: 1.059
Epoch 205 [unconstrained] | Target: 0.90 | H: 1.069
Epoch 206 [unconstrained] | Target: 0.10 | H: 1.070
Epoch 207 [unconstrained] | Target: 0.00 | H: 1.072
Epoch 208 [unconstrained] | Target: 0.00 | H: 1.053
Epoch 209 [unconstrained] | Target: 0.00 | H: 1.073
Epoch 210 [unconstrained] | Target: 0.60 | H: 1.069
Epoch 211 [unconstrained] | Target: 0.10 | H: 1.073
Epoch 212 [unconstrained] | Target: 0.00 | H: 1.071
Epoch 213 [unconstrained] | Target: 0.50 | H: 1.066
Epoch 214 [unconstrained] | Target: 0.30 | H: 1.067
Epoch 215 [unconstrained] | Target: 0.20 | H: 1.073
Epoch 216 [unconstrained] | Target: 0.30 | H: 1.069
Epoch 217 [unconstrained] | Target: 0.30 | H: 1.071
Epoch 218 [unconstrained] | Target: 0.00 | H: 1.062
Epoch 219 [unconstrained] | Target: 0.00 | H: 1.073
Epoch 220 [unconstrained] | Target: 0.60 | H: 1.072
Epoch 221 [unconstrained] | Target: 0.10 | H: 1.063
Epoch 222 [unconstrained] | Target: 0.30 | H: 1.060
Epoch 223 [unconstrained] | Target: 0.10 | H: 1.056
Epoch 224 [unconstrained] | Target: 0.00 | H: 1.057
Epoch 225 [unconstrained] | Target: 0.10 | H: 1.061
Epoch 226 [unconstrained] | Target: 0.40 | H: 1.051
Epoch 227 [unconstrained] | Target: 0.00 | H: 1.056
Epoch 228 [unconstrained] | Target: 0.10 | H: 1.054
Epoch 229 [unconstrained] | Target: 0.00 | H: 1.049
Epoch 230 [unconstrained] | Target: 0.00 | H: 1.056
Epoch 231 [unconstrained] | Target: 0.10 | H: 1.047
Epoch 232 [unconstrained] | Target: 0.00 | H: 1.037
Epoch 233 [unconstrained] | Target: 0.30 | H: 1.052
Epoch 234 [unconstrained] | Target: 0.60 | H: 1.053
Epoch 235 [unconstrained] | Target: 0.80 | H: 1.048
