Epoch   0 [unconstrained] | Target: 0.40 | H: 1.080
Epoch   1 [unconstrained] | Target: 0.00 | H: 1.074
Epoch   2 [unconstrained] | Target: 0.20 | H: 1.069
Epoch   3 [unconstrained] | Target: 0.00 | H: 1.057
Epoch   4 [unconstrained] | Target: 0.50 | H: 1.038
Epoch   5 [unconstrained] | Target: 0.00 | H: 1.037
Epoch   6 [unconstrained] | Target: 0.10 | H: 1.030
Epoch   7 [unconstrained] | Target: 0.30 | H: 1.004
Epoch   8 [unconstrained] | Target: 0.30 | H: 1.002
Epoch   9 [unconstrained] | Target: 0.60 | H: 1.015
Epoch  10 [unconstrained] | Target: 0.00 | H: 0.990
Epoch  11 [unconstrained] | Target: 0.00 | H: 0.994
Epoch  12 [unconstrained] | Target: 0.00 | H: 0.970
Epoch  13 [unconstrained] | Target: 0.00 | H: 1.004
Epoch  14 [unconstrained] | Target: 0.30 | H: 0.992
Epoch  15 [unconstrained] | Target: 0.10 | H: 0.956
Epoch  16 [unconstrained] | Target: 0.50 | H: 0.991
Epoch  17 [unconstrained] | Target: 0.00 | H: 0.972
Epoch  18 [unconstrained] | Target: 0.20 | H: 0.982
Epoch  19 [unconstrained] | Target: 0.10 | H: 0.994
Epoch  20 [unconstrained] | Target: 0.00 | H: 0.975
Epoch  21 [unconstrained] | Target: 0.00 | H: 0.983
Epoch  22 [unconstrained] | Target: 0.00 | H: 0.988
Epoch  23 [unconstrained] | Target: 0.00 | H: 0.983
Epoch  24 [unconstrained] | Target: 0.10 | H: 0.992
Epoch  25 [unconstrained] | Target: 0.20 | H: 0.969
Epoch  26 [unconstrained] | Target: 0.00 | H: 0.993
Epoch  27 [unconstrained] | Target: 1.00 | H: 0.992
Epoch  28 [unconstrained] | Target: 0.00 | H: 1.000
Epoch  29 [unconstrained] | Target: 0.10 | H: 0.998
Epoch  30 [unconstrained] | Target: 0.00 | H: 0.983
Epoch  31 [unconstrained] | Target: 0.40 | H: 0.993
Epoch  32 [unconstrained] | Target: 0.00 | H: 0.993
Epoch  33 [unconstrained] | Target: 0.00 | H: 0.988
Epoch  34 [unconstrained] | Target: 0.10 | H: 0.956
Epoch  35 [unconstrained] | Target: 0.10 | H: 0.960
Epoch  36 [unconstrained] | Target: 0.00 | H: 0.962
Epoch  37 [unconstrained] | Target: 0.00 | H: 0.950
Epoch  38 [unconstrained] | Target: 0.30 | H: 0.981
Epoch  39 [unconstrained] | Target: 0.40 | H: 0.981
Epoch  40 [unconstrained] | Target: 0.20 | H: 0.963
Epoch  41 [unconstrained] | Target: 0.10 | H: 0.953
Epoch  42 [unconstrained] | Target: 0.80 | H: 0.944
Epoch  43 [unconstrained] | Target: 0.40 | H: 0.938
Epoch  44 [unconstrained] | Target: 0.20 | H: 0.977
Epoch  45 [unconstrained] | Target: 0.20 | H: 0.959
Epoch  46 [unconstrained] | Target: 0.30 | H: 0.996
Epoch  47 [unconstrained] | Target: 0.30 | H: 0.942
Epoch  48 [unconstrained] | Target: 0.40 | H: 0.932
Epoch  49 [unconstrained] | Target: 0.00 | H: 0.968
Epoch  50 [unconstrained] | Target: 0.00 | H: 0.970
Epoch  51 [unconstrained] | Target: 0.50 | H: 0.934
Epoch  52 [unconstrained] | Target: 0.20 | H: 0.922
Epoch  53 [unconstrained] | Target: 0.40 | H: 0.875
Epoch  54 [unconstrained] | Target: 0.00 | H: 0.864
Epoch  55 [unconstrained] | Target: 0.50 | H: 0.858
Epoch  56 [unconstrained] | Target: 0.10 | H: 0.862
Epoch  57 [unconstrained] | Target: 0.90 | H: 0.773
Epoch  58 [unconstrained] | Target: 0.00 | H: 0.827
Epoch  59 [unconstrained] | Target: 0.00 | H: 0.811
Epoch  60 [unconstrained] | Target: 0.60 | H: 0.798
Epoch  61 [unconstrained] | Target: 0.00 | H: 0.801
Epoch  62 [unconstrained] | Target: 0.30 | H: 0.821
Epoch  63 [unconstrained] | Target: 0.30 | H: 0.824
Epoch  64 [unconstrained] | Target: 0.10 | H: 0.787
Epoch  65 [unconstrained] | Target: 0.00 | H: 0.793
Epoch  66 [unconstrained] | Target: 0.50 | H: 0.824
