Epoch   0 [unconstrained] | Target: 0.00 | H: 1.089
Epoch   1 [unconstrained] | Target: 0.00 | H: 1.087
Epoch   2 [unconstrained] | Target: 0.70 | H: 1.083
Epoch   3 [unconstrained] | Target: 0.00 | H: 1.088
Epoch   4 [unconstrained] | Target: 0.10 | H: 1.091
Epoch   5 [unconstrained] | Target: 0.30 | H: 1.086
Epoch   6 [unconstrained] | Target: 0.10 | H: 1.076
Epoch   7 [unconstrained] | Target: 0.30 | H: 1.069
Epoch   8 [unconstrained] | Target: 0.30 | H: 1.028
Epoch   9 [unconstrained] | Target: 0.60 | H: 1.038
Epoch  10 [unconstrained] | Target: 0.10 | H: 1.032
Epoch  11 [unconstrained] | Target: 0.10 | H: 1.012
Epoch  12 [unconstrained] | Target: 0.40 | H: 1.021
Epoch  13 [unconstrained] | Target: 0.00 | H: 1.026
Epoch  14 [unconstrained] | Target: 0.00 | H: 1.001
Epoch  15 [unconstrained] | Target: 0.10 | H: 1.011
Epoch  16 [unconstrained] | Target: 0.00 | H: 1.011
Epoch  17 [unconstrained] | Target: 0.20 | H: 1.050
Epoch  18 [unconstrained] | Target: 0.20 | H: 1.020
Epoch  19 [unconstrained] | Target: 0.00 | H: 1.016
Epoch  20 [unconstrained] | Target: 0.70 | H: 1.041
Epoch  21 [unconstrained] | Target: 0.00 | H: 1.001
Epoch  22 [unconstrained] | Target: 0.00 | H: 1.035
Epoch  23 [unconstrained] | Target: 0.00 | H: 1.027
Epoch  24 [unconstrained] | Target: 0.30 | H: 1.050
Epoch  25 [unconstrained] | Target: 0.00 | H: 1.031
Epoch  26 [unconstrained] | Target: 0.10 | H: 1.041
Epoch  27 [unconstrained] | Target: 0.10 | H: 1.047
Epoch  28 [unconstrained] | Target: 0.20 | H: 1.049
Epoch  29 [unconstrained] | Target: 0.00 | H: 1.043
Epoch  30 [unconstrained] | Target: 0.00 | H: 1.044
Epoch  31 [unconstrained] | Target: 0.40 | H: 1.044
Epoch  32 [unconstrained] | Target: 0.30 | H: 1.052
Epoch  33 [unconstrained] | Target: 0.30 | H: 1.032
Epoch  34 [unconstrained] | Target: 0.70 | H: 1.035
Epoch  35 [unconstrained] | Target: 0.50 | H: 1.049
Epoch  36 [unconstrained] | Target: 0.60 | H: 1.027
Epoch  37 [unconstrained] | Target: 0.20 | H: 1.051
Epoch  38 [unconstrained] | Target: 0.40 | H: 1.019
Epoch  39 [unconstrained] | Target: 0.20 | H: 1.039
Epoch  40 [unconstrained] | Target: 0.50 | H: 1.010
Epoch  41 [unconstrained] | Target: 0.20 | H: 1.019
Epoch  42 [unconstrained] | Target: 0.00 | H: 1.031
Epoch  43 [unconstrained] | Target: 0.10 | H: 1.036
Epoch  44 [unconstrained] | Target: 0.60 | H: 1.027
Epoch  45 [unconstrained] | Target: 0.40 | H: 1.022
Epoch  46 [unconstrained] | Target: 0.30 | H: 1.005
Epoch  47 [unconstrained] | Target: 0.00 | H: 1.011
Epoch  48 [unconstrained] | Target: 0.40 | H: 1.010
Epoch  49 [unconstrained] | Target: 0.20 | H: 1.031
Epoch  50 [unconstrained] | Target: 1.00 | H: 1.035
Epoch  51 [unconstrained] | Target: 0.00 | H: 1.012
Epoch  52 [unconstrained] | Target: 0.10 | H: 0.992
Epoch  53 [unconstrained] | Target: 0.40 | H: 1.015
Epoch  54 [unconstrained] | Target: 0.00 | H: 1.001
Epoch  55 [unconstrained] | Target: 0.30 | H: 1.006
Epoch  56 [unconstrained] | Target: 0.10 | H: 1.012
Epoch  57 [unconstrained] | Target: 0.00 | H: 1.029
Epoch  58 [unconstrained] | Target: 0.00 | H: 1.044
Epoch  59 [unconstrained] | Target: 0.00 | H: 1.041
Epoch  60 [unconstrained] | Target: 0.00 | H: 1.040
Epoch  61 [unconstrained] | Target: 0.20 | H: 1.044
Epoch  62 [unconstrained] | Target: 0.00 | H: 1.039
Epoch  63 [unconstrained] | Target: 0.00 | H: 1.046
Epoch  64 [unconstrained] | Target: 0.10 | H: 1.050
Epoch  65 [unconstrained] | Target: 0.00 | H: 1.051
Epoch  66 [unconstrained] | Target: 0.30 | H: 1.054
Epoch  67 [unconstrained] | Target: 0.00 | H: 1.043
Epoch  68 [unconstrained] | Target: 0.00 | H: 1.039
Epoch  69 [unconstrained] | Target: 0.40 | H: 1.054
Epoch  70 [unconstrained] | Target: 0.20 | H: 1.054
Epoch  71 [unconstrained] | Target: 0.30 | H: 1.057
Epoch  72 [unconstrained] | Target: 0.90 | H: 1.028
Epoch  73 [unconstrained] | Target: 0.20 | H: 1.051
Epoch  74 [unconstrained] | Target: 0.00 | H: 1.059
Epoch  75 [unconstrained] | Target: 0.20 | H: 1.041
Epoch  76 [unconstrained] | Target: 0.50 | H: 1.054
Epoch  77 [unconstrained] | Target: 0.40 | H: 1.059
Epoch  78 [unconstrained] | Target: 0.00 | H: 1.043
Epoch  79 [unconstrained] | Target: 0.10 | H: 1.048
Epoch  80 [unconstrained] | Target: 0.60 | H: 1.042
Epoch  81 [unconstrained] | Target: 0.10 | H: 1.043
