Epoch   0 [constrained] | Target: 0.20 | Ethical cost: 95.7905 | H: 1.086
Epoch   1 [constrained] | Target: 0.00 | Ethical cost: 71.1058 | H: 1.068
Epoch   2 [constrained] | Target: 0.00 | Ethical cost: 77.1219 | H: 1.074
Epoch   3 [constrained] | Target: 0.90 | Ethical cost: 10.7227 | H: 1.074
Epoch   4 [constrained] | Target: 0.30 | Ethical cost: 52.3329 | H: 1.027
Epoch   5 [constrained] | Target: 0.30 | Ethical cost: 52.1372 | H: 1.023
Epoch   6 [constrained] | Target: 0.70 | Ethical cost: 29.2833 | H: 1.027
Epoch   7 [constrained] | Target: 0.30 | Ethical cost: 45.0292 | H: 1.020
Epoch   8 [constrained] | Target: 0.30 | Ethical cost: 46.8044 | H: 1.025
Epoch   9 [constrained] | Target: 0.60 | Ethical cost: 38.6990 | H: 1.005
Epoch  10 [constrained] | Target: 0.30 | Ethical cost: 39.9644 | H: 1.001
Epoch  11 [constrained] | Target: 0.20 | Ethical cost: 44.5814 | H: 1.003
Epoch  12 [constrained] | Target: 0.00 | Ethical cost: 58.5135 | H: 1.011
Epoch  13 [constrained] | Target: 0.30 | Ethical cost: 39.4602 | H: 0.989
Epoch  14 [constrained] | Target: 0.10 | Ethical cost: 54.5283 | H: 1.006
Epoch  15 [constrained] | Target: 0.10 | Ethical cost: 54.2774 | H: 0.992
Epoch  16 [constrained] | Target: 0.00 | Ethical cost: 49.3958 | H: 0.975
Epoch  17 [constrained] | Target: 0.00 | Ethical cost: 56.5353 | H: 0.991
Epoch  18 [constrained] | Target: 0.10 | Ethical cost: 65.8612 | H: 1.025
Epoch  19 [constrained] | Target: 0.10 | Ethical cost: 67.1917 | H: 1.032
Epoch  20 [constrained] | Target: 0.20 | Ethical cost: 58.2292 | H: 1.035
Epoch  21 [constrained] | Target: 0.50 | Ethical cost: 35.9271 | H: 1.008
Epoch  22 [constrained] | Target: 0.10 | Ethical cost: 70.5105 | H: 1.037
Epoch  23 [constrained] | Target: 0.00 | Ethical cost: 55.0467 | H: 1.025
Epoch  24 [constrained] | Target: 0.80 | Ethical cost: 67.5537 | H: 1.060
Epoch  25 [constrained] | Target: 0.10 | Ethical cost: 60.6260 | H: 1.049
Epoch  26 [constrained] | Target: 0.00 | Ethical cost: 59.8591 | H: 1.041
Epoch  27 [constrained] | Target: 0.00 | Ethical cost: 79.1812 | H: 1.057
Epoch  28 [constrained] | Target: 0.10 | Ethical cost: 63.4206 | H: 1.039
Epoch  29 [constrained] | Target: 0.00 | Ethical cost: 83.2741 | H: 1.049
Epoch  30 [constrained] | Target: 0.00 | Ethical cost: 79.1617 | H: 1.049
Epoch  31 [constrained] | Target: 0.00 | Ethical cost: 71.1129 | H: 1.040
Epoch  32 [constrained] | Target: 0.60 | Ethical cost: 37.5557 | H: 1.038
Epoch  33 [constrained] | Target: 0.50 | Ethical cost: 55.0200 | H: 1.034
Epoch  34 [constrained] | Target: 0.60 | Ethical cost: 60.4026 | H: 1.050
Epoch  35 [constrained] | Target: 0.10 | Ethical cost: 68.1098 | H: 1.018
Epoch  36 [constrained] | Target: 0.10 | Ethical cost: 77.2085 | H: 1.017
Epoch  37 [constrained] | Target: 0.60 | Ethical cost: 23.7912 | H: 0.999
Epoch  38 [constrained] | Target: 0.00 | Ethical cost: 44.9215 | H: 0.998
Epoch  39 [constrained] | Target: 0.40 | Ethical cost: 22.2938 | H: 0.947
Epoch  40 [constrained] | Target: 0.00 | Ethical cost: 51.0425 | H: 0.999
Epoch  41 [constrained] | Target: 0.50 | Ethical cost: 30.2940 | H: 0.960
Epoch  42 [constrained] | Target: 0.10 | Ethical cost: 32.6945 | H: 0.922
Epoch  43 [constrained] | Target: 0.00 | Ethical cost: 32.1323 | H: 0.952
Epoch  44 [constrained] | Target: 0.00 | Ethical cost: 29.9258 | H: 0.932
Epoch  45 [constrained] | Target: 0.50 | Ethical cost: 20.1161 | H: 0.921
Epoch  46 [constrained] | Target: 0.00 | Ethical cost: 23.1208 | H: 0.899
