Epoch  74 [constrained] | Target: 0.10 | Ethical cost: 94.5550 | H: 1.082
Epoch  75 [constrained] | Target: 0.00 | Ethical cost: 115.4469 | H: 1.080
Epoch  76 [constrained] | Target: 0.00 | Ethical cost: 110.4375 | H: 1.090
Epoch  77 [constrained] | Target: 0.20 | Ethical cost: 115.4171 | H: 1.090
Epoch  78 [constrained] | Target: 0.10 | Ethical cost: 123.2270 | H: 1.084
Epoch  79 [constrained] | Target: 0.50 | Ethical cost: 57.6407 | H: 1.087
Epoch  80 [constrained] | Target: 0.80 | Ethical cost: 59.5678 | H: 1.087
Epoch  81 [constrained] | Target: 0.00 | Ethical cost: 126.4299 | H: 1.083
Epoch  82 [constrained] | Target: 0.00 | Ethical cost: 107.3473 | H: 1.084
Epoch  83 [constrained] | Target: 0.00 | Ethical cost: 101.3781 | H: 1.090
Epoch  84 [constrained] | Target: 0.00 | Ethical cost: 94.6564 | H: 1.073
Epoch  85 [constrained] | Target: 0.10 | Ethical cost: 100.7071 | H: 1.075
Epoch  86 [constrained] | Target: 0.10 | Ethical cost: 74.1810 | H: 1.059
Epoch  87 [constrained] | Target: 0.70 | Ethical cost: 51.3257 | H: 1.068
Epoch  88 [constrained] | Target: 0.10 | Ethical cost: 91.7745 | H: 1.032
Epoch  89 [constrained] | Target: 0.00 | Ethical cost: 83.4428 | H: 1.032
Epoch  90 [constrained] | Target: 0.40 | Ethical cost: 58.6632 | H: 1.057
Epoch  91 [constrained] | Target: 0.00 | Ethical cost: 81.3977 | H: 1.026
Epoch  92 [constrained] | Target: 0.00 | Ethical cost: 80.0406 | H: 1.019
Epoch  93 [constrained] | Target: 0.10 | Ethical cost: 104.3783 | H: 1.018
Epoch  94 [constrained] | Target: 0.00 | Ethical cost: 97.2384 | H: 1.029
Epoch  95 [constrained] | Target: 0.40 | Ethical cost: 80.7359 | H: 1.033
Epoch  96 [constrained] | Target: 0.60 | Ethical cost: 43.9045 | H: 1.031
Epoch  97 [constrained] | Target: 0.00 | Ethical cost: 92.0175 | H: 1.042
Epoch  98 [constrained] | Target: 0.00 | Ethical cost: 105.1812 | H: 1.034
Epoch  99 [constrained] | Target: 0.00 | Ethical cost: 129.0322 | H: 1.045
Epoch 100 [constrained] | Target: 0.00 | Ethical cost: 116.9927 | H: 1.030
Epoch 101 [constrained] | Target: 0.00 | Ethical cost: 113.1729 | H: 1.015
Epoch 102 [constrained] | Target: 0.20 | Ethical cost: 109.5663 | H: 1.044
Epoch 103 [constrained] | Target: 0.10 | Ethical cost: 96.2561 | H: 1.029
Epoch 104 [constrained] | Target: 0.00 | Ethical cost: 111.3768 | H: 1.016
Epoch 105 [constrained] | Target: 0.10 | Ethical cost: 109.5036 | H: 1.038
Epoch 106 [constrained] | Target: 0.00 | Ethical cost: 99.5216 | H: 1.019
Epoch 107 [constrained] | Target: 0.10 | Ethical cost: 86.3583 | H: 1.014
Epoch 108 [constrained] | Target: 0.10 | Ethical cost: 76.7307 | H: 1.008
Epoch 109 [constrained] | Target: 0.00 | Ethical cost: 79.1567 | H: 1.006
Epoch 110 [constrained] | Target: 0.00 | Ethical cost: 74.7277 | H: 1.001
Epoch 111 [constrained] | Target: 0.00 | Ethical cost: 73.3600 | H: 1.001
Epoch 112 [constrained] | Target: 0.00 | Ethical cost: 97.5099 | H: 1.009
Epoch 113 [constrained] | Target: 0.20 | Ethical cost: 58.8387 | H: 0.995
Epoch 114 [constrained] | Target: 0.00 | Ethical cost: 41.7340 | H: 0.954
Epoch 115 [constrained] | Target: 0.00 | Ethical cost: 54.1435 | H: 0.998
Epoch 116 [constrained] | Target: 0.00 | Ethical cost: 86.9671 | H: 1.005
Epoch 117 [constrained] | Target: 0.00 | Ethical cost: 46.3498 | H: 0.964
Epoch 118 [constrained] | Target: 0.10 | Ethical cost: 54.4836 | H: 0.990
Epoch 119 [constrained] | Target: 0.00 | Ethical cost: 57.1145 | H: 0.984
Epoch 120 [constrained] | Target: 0.10 | Ethical cost: 46.7099 | H: 0.982
Epoch 121 [constrained] | Target: 0.20 | Ethical cost: 36.6171 | H: 0.976
Epoch 122 [constrained] | Target: 0.00 | Ethical cost: 54.1434 | H: 0.985
Epoch 123 [constrained] | Target: 0.00 | Ethical cost: 36.2826 | H: 0.977
Epoch 124 [constrained] | Target: 0.00 | Ethical cost: 39.0983 | H: 0.975
Epoch 125 [constrained] | Target: 0.10 | Ethical cost: 37.9336 | H: 0.994
Epoch 126 [constrained] | Target: 0.20 | Ethical cost: 32.3464 | H: 0.962
Epoch 127 [constrained] | Target: 0.00 | Ethical cost: 40.5680 | H: 0.987
Epoch 128 [constrained] | Target: 0.00 | Ethical cost: 59.5764 | H: 1.030
