Epoch   0 [unconstrained] | Target: 0.20 | H: 1.086
Epoch   1 [unconstrained] | Target: 0.00 | H: 1.068
Epoch   2 [unconstrained] | Target: 0.00 | H: 1.076
Epoch   3 [unconstrained] | Target: 0.80 | H: 1.074
Epoch   4 [unconstrained] | Target: 0.60 | H: 1.041
Epoch   5 [unconstrained] | Target: 0.00 | H: 1.035
Epoch   6 [unconstrained] | Target: 1.00 | H: 1.016
Epoch   7 [unconstrained] | Target: 0.20 | H: 1.037
Epoch   8 [unconstrained] | Target: 0.20 | H: 1.032
Epoch   9 [unconstrained] | Target: 0.80 | H: 1.013
Epoch  10 [unconstrained] | Target: 0.60 | H: 1.035
Epoch  11 [unconstrained] | Target: 0.00 | H: 1.026
Epoch  12 [unconstrained] | Target: 0.10 | H: 1.026
Epoch  13 [unconstrained] | Target: 0.00 | H: 1.023
Epoch  14 [unconstrained] | Target: 0.20 | H: 1.047
Epoch  15 [unconstrained] | Target: 0.10 | H: 1.013
Epoch  16 [unconstrained] | Target: 0.50 | H: 1.019
Epoch  17 [unconstrained] | Target: 0.00 | H: 1.043
Epoch  18 [unconstrained] | Target: 0.10 | H: 1.026
Epoch  19 [unconstrained] | Target: 0.00 | H: 1.047
Epoch  20 [unconstrained] | Target: 0.60 | H: 1.031
Epoch  21 [unconstrained] | Target: 0.70 | H: 1.020
Epoch  22 [unconstrained] | Target: 0.00 | H: 1.050
Epoch  23 [unconstrained] | Target: 0.00 | H: 1.003
Epoch  24 [unconstrained] | Target: 0.40 | H: 1.029
Epoch  25 [unconstrained] | Target: 0.20 | H: 1.010
Epoch  26 [unconstrained] | Target: 0.00 | H: 1.013
Epoch  27 [unconstrained] | Target: 0.00 | H: 1.014
Epoch  28 [unconstrained] | Target: 0.30 | H: 1.019
Epoch  29 [unconstrained] | Target: 0.10 | H: 1.026
Epoch  30 [unconstrained] | Target: 0.10 | H: 1.011
Epoch  31 [unconstrained] | Target: 0.00 | H: 1.006
Epoch  32 [unconstrained] | Target: 0.70 | H: 0.979
Epoch  33 [unconstrained] | Target: 0.30 | H: 1.015
Epoch  34 [unconstrained] | Target: 0.30 | H: 0.997
Epoch  35 [unconstrained] | Target: 0.10 | H: 0.986
Epoch  36 [unconstrained] | Target: 0.40 | H: 0.961
Epoch  37 [unconstrained] | Target: 0.50 | H: 0.983
Epoch  38 [unconstrained] | Target: 0.10 | H: 1.012
Epoch  39 [unconstrained] | Target: 0.20 | H: 0.973
Epoch  40 [unconstrained] | Target: 0.10 | H: 1.021
Epoch  41 [unconstrained] | Target: 0.00 | H: 1.016
Epoch  42 [unconstrained] | Target: 0.00 | H: 0.982
Epoch  43 [unconstrained] | Target: 0.00 | H: 1.022
Epoch  44 [unconstrained] | Target: 0.00 | H: 1.006
Epoch  45 [unconstrained] | Target: 0.50 | H: 0.989
Epoch  46 [unconstrained] | Target: 0.00 | H: 1.000
Epoch  47 [unconstrained] | Target: 0.60 | H: 0.966
Epoch  48 [unconstrained] | Target: 0.00 | H: 1.020
Epoch  49 [unconstrained] | Target: 0.50 | H: 0.977
Epoch  50 [unconstrained] | Target: 0.50 | H: 0.995
Epoch  51 [unconstrained] | Target: 0.80 | H: 0.979
Epoch  52 [unconstrained] | Target: 0.00 | H: 1.017
Epoch  53 [unconstrained] | Target: 0.10 | H: 1.032
Epoch  54 [unconstrained] | Target: 0.40 | H: 0.998
Epoch  55 [unconstrained] | Target: 0.00 | H: 1.019
Epoch  56 [unconstrained] | Target: 0.30 | H: 1.014
Epoch  57 [unconstrained] | Target: 0.00 | H: 1.004
Epoch  58 [unconstrained] | Target: 0.00 | H: 1.015
Epoch  59 [unconstrained] | Target: 0.10 | H: 1.022
Epoch  60 [unconstrained] | Target: 0.20 | H: 0.992
Epoch  61 [unconstrained] | Target: 0.00 | H: 1.020
Epoch  62 [unconstrained] | Target: 0.20 | H: 1.019
Epoch  63 [unconstrained] | Target: 0.30 | H: 1.028
Epoch  64 [unconstrained] | Target: 0.20 | H: 1.011
Epoch  65 [unconstrained] | Target: 0.10 | H: 1.050
Epoch  66 [unconstrained] | Target: 0.10 | H: 1.029
Epoch  67 [unconstrained] | Target: 0.00 | H: 1.020
Epoch  68 [unconstrained] | Target: 0.50 | H: 1.028
Epoch  69 [unconstrained] | Target: 0.00 | H: 1.017
Epoch  70 [unconstrained] | Target: 0.10 | H: 1.035
Epoch  71 [unconstrained] | Target: 0.00 | H: 1.049
Epoch  72 [unconstrained] | Target: 0.20 | H: 1.028
Epoch  73 [unconstrained] | Target: 0.80 | H: 1.056
Epoch  74 [unconstrained] | Target: 1.00 | H: 1.046
Epoch  75 [unconstrained] | Target: 0.20 | H: 1.038
Epoch  76 [unconstrained] | Target: 0.00 | H: 1.025
Epoch  77 [unconstrained] | Target: 0.20 | H: 1.035
Epoch  78 [unconstrained] | Target: 0.70 | H: 1.014
Epoch  79 [unconstrained] | Target: 0.00 | H: 1.046
Epoch  80 [unconstrained] | Target: 0.10 | H: 1.022
Epoch  81 [unconstrained] | Target: 0.30 | H: 1.033
Epoch  82 [unconstrained] | Target: 0.10 | H: 1.021
Epoch  83 [unconstrained] | Target: 0.10 | H: 1.021
Epoch  84 [unconstrained] | Target: 0.00 | H: 1.029
Epoch  85 [unconstrained] | Target: 0.20 | H: 1.029
Epoch  86 [unconstrained] | Target: 0.00 | H: 1.016
Epoch  87 [unconstrained] | Target: 0.10 | H: 1.005
